Date,Open,High,Low,Price
"Apr 04, 2016","1,221.70","1,222.30","1,215.00","1,218.00"
"Apr 01, 2016","1,232.30","1,235.20","1,209.20","1,222.20"
"Mar 31, 2016","1,225.60","1,239.60","1,224.50","1,234.20"
"Mar 30, 2016","1,241.40","1,245.00","1,223.40","1,226.90"
"Mar 29, 2016","1,217.80","1,235.60","1,217.70","1,235.60"
"Mar 28, 2016","1,211.50","1,222.20","1,210.00","1,219.90"
"Mar 24, 2016","1,214.20","1,221.40","1,214.20","1,221.40"
"Mar 23, 2016","1,247.70","1,247.70","1,218.60","1,223.70"
"Mar 22, 2016","1,244.00","1,252.40","1,243.80","1,248.20"
"Mar 21, 2016","1,256.20","1,256.20","1,243.40","1,243.80"
"Mar 18, 2016","1,257.10","1,264.40","1,251.50","1,253.80"
"Mar 17, 2016","1,261.50","1,270.10","1,255.90","1,264.50"
"Mar 16, 2016","1,229.50","1,263.80","1,228.90","1,229.30"
"Mar 15, 2016","1,228.30","1,236.00","1,228.00","1,230.40"
"Mar 14, 2016","1,256.00","1,258.00","1,234.50","1,244.40"
"Mar 11, 2016","1,270.00","1,280.70","1,249.40","1,258.70"
"Mar 10, 2016","1,250.00","1,273.00","1,237.50","1,272.00"
"Mar 09, 2016","1,254.50","1,260.00","1,244.80","1,256.60"
"Mar 08, 2016","1,268.70","1,276.30","1,261.00","1,262.10"
"Mar 07, 2016","1,259.80","1,272.30","1,259.70","1,263.20"
"Mar 04, 2016","1,263.00","1,279.90","1,250.90","1,269.90"
"Mar 03, 2016","1,238.40","1,267.90","1,238.00","1,257.40"
"Mar 02, 2016","1,232.80","1,242.60","1,226.00","1,241.10"
"Mar 01, 2016","1,240.50","1,248.40","1,229.00","1,230.30"
"Feb 29, 2016","1,218.60","1,241.00","1,218.60","1,233.90"
"Feb 26, 2016","1,232.40","1,239.10","1,212.20","1,219.80"
"Feb 25, 2016","1,239.40","1,241.50","1,235.00","1,238.20"
"Feb 24, 2016","1,230.00","1,250.10","1,230.00","1,238.70"
"Feb 23, 2016","1,207.40","1,226.10","1,207.40","1,222.30"
"Feb 22, 2016","1,226.10","1,226.10","1,203.00","1,209.50"
"Feb 19, 2016","1,230.80","1,232.80","1,221.80","1,230.40"
"Feb 18, 2016","1,209.60","1,239.20","1,201.60","1,226.10"
"Feb 17, 2016","1,196.50","1,212.90","1,196.50","1,211.10"
"Feb 16, 2016","1,233.10","1,233.60","1,193.60","1,207.90"
"Feb 15, 2016",-,-,-,-
"Feb 12, 2016","1,247.80","1,247.80","1,233.50","1,239.10"
"Feb 11, 2016","1,205.60","1,260.80","1,204.60","1,247.90"
"Feb 10, 2016","1,189.80","1,197.70","1,182.10","1,194.70"
"Feb 09, 2016","1,188.70","1,199.20","1,186.70","1,198.70"
"Feb 08, 2016","1,173.50","1,200.40","1,165.00","1,197.90"
"Feb 05, 2016","1,155.60","1,174.80","1,146.00","1,157.80"
"Feb 04, 2016","1,142.50","1,157.60","1,141.00","1,157.60"
